geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-5.9320973 37.4056088),Alcalde Luis Uruñuela (Pal. Congresos),,stop_position,,,,,,TUSSAM,,,,,,,,-5.9320973,37.4056088
POINT (-5.967539 37.4011524),Baltasar de Alcázar (Sánchez Samaniego),,stop_position,,,,,,,,,,,,,,-5.967539,37.4011524
POINT (-5.9621512 37.3933775),Ada (Tarso),,stop_position,,,,,,TUSSAM,,,,,,,,-5.9621512,37.3933775
POINT (-5.9294803 37.4048907),Alcalde Luis Uruñuela (Parque Alcosa),,stop_position,,,,,,TUSSAM,,,,,,,,-5.9294803,37.4048907
POINT (-5.9757985 37.3628046),Virgen del Rocío,,stop_position,stop,,,,,,,,,,,,,-5.9757985,37.3628046
POINT (-5.9864721 37.3558938),Glorieta Alcalde Parias Merry,,stop_position,,,,,,,,,,,,,,-5.9864721,37.3558938
POINT (-5.9834491 37.3563719),Doctor Fleming (Estadio Benito Villamarín),,stop_position,,,,,,,,,,,,,,-5.9834491,37.3563719
POINT (-6.009981 37.3907355),Jiménez de Quesada (Puerta Triana),,stop_position,,,,,,TUSSAM,,,,,,,,-6.009981,37.3907355
POINT (-6.0021647 37.3918518),Parking Plaza de Armas,parking,,,,,,,saba,,,24/7,,,,,-6.0021647,37.3918518
POINT (-5.9950492 37.3925556),McDonald's,fast_food,,,,,wlan,McDonald's,,burger,,Su-Th 09:30-00:00; Fr-Sa 09:30-02:00,limited,Calle Campana,5,41004,-5.9950492,37.3925556
POINT (-5.9848282 37.3901535),Hotel Catalonia Giralda,,,,,4,wlan,,,,,,,Calle Sierra Nevada,3,,-5.9848282,37.3901535
POINT (-5.9845627 37.3893782),ALFONSITO Brunch Cafe,cafe,,,,,wlan,,,,,08:00-20:30,yes,Puerta de Carmona,1,,-5.9845627,37.3893782
POINT (-5.9927729 37.3824102),La Revolea,cafe,,,,,wlan,,,,,,,,,,-5.9927729,37.3824102
POINT (-5.9956891 37.3894916),,parking,,,,,,,,,,,,,,,-5.9956891,37.3894916
POINT (-5.9675555 37.392185),Solea Av. (El Greco),,stop_position,,,,,,Tussam,,,,,,,,-5.9675555,37.392185
POINT (-5.9613668 37.3939894),Jerusalén (Junta Municipal de Distrito),,stop_position,,,,,,Tussam,,,,,,,,-5.9613668,37.3939894
POINT (-5.9788041 37.355846),Guadalbullon (Instituto Heliópolis),,stop_position,,,,,,,,,,,,,,-5.9788041,37.355846
POINT (-5.9712063 37.3623821),Rda. La Oliva (Orf. Cayet. González),,stop_position,,,,,,,,,,,,,,-5.9712063,37.3623821
POINT (-5.9672612 37.4012874),,,platform,,bus_stop,,,,,,,,yes,,,,-5.9672612,37.4012874
POINT (-5.9659946 37.3743601),Ramón y Cajal (Antiguo Matadero),,stop_position,,bus_stop,,,,,,,,,,,,-5.9659946,37.3743601
