geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.351937061522698 36.71844903797073),Auditorio Curro Román,,theatre,,,,,,,,,,,-4.351937061522698,36.71844903797073,-484458,4087498,auditorio curro román,33
POINT (-4.422050302735064 36.71538726591217),,kiosk,,,,,,,,,,,,-4.422050302735064,36.71538726591217,-492263,4087157,,142
POINT (-4.539221266804954 36.72313619078047),,,,,,,park,,,,,,,-4.539221266804954,36.72313619078047,-505306,4088020,,4
POINT (-4.538067100000001 36.72319525000001),,kiosk,,,,,,,,,,,,-4.538067100000001,36.72319525000001,-505178,4088026,,4
POINT (-4.538778881860489 36.723445038964414),Colegio de Educación Infantil y Primaria Francisco de Quevedo,,school,,,,,Calle Tiziano,,29590.0,,,,-4.538778881860489,36.723445038964414,-505257,4088054,colegio de educación infantil y primaria francisco de quevedo,4
POINT (-4.483038312992631 36.73941758205628),Matcon,trade,,,,,,Calle Lope de Rueda,,29190.0,,,,-4.483038312992631,36.73941758205628,-499052,4089832,matcon,17
POINT (-4.413130421474825 36.71899709760714),Centro Pompidou Málaga,,,museum,,,,Pasaje Doctor Carrillo Casaux,,,,Centro Pompidou;Ayuntamiento de Málaga,,-4.413130421474825,36.71899709760714,-491270,4087559,centro pompidou málaga,-1
POINT (-4.412656350000001 36.7188536),El Cubo,,,attraction,,,,,,,,,,-4.412656350000001,36.7188536,-491217,4087543,el cubo,-1
POINT (-4.4419843878748 36.68965494865461),La Campana Playa,,restaurant,,,,,Paseo Marítimo Antonio Banderas,13,29004.0,,,,-4.4419843878748,36.68965494865461,-494482,4084292,la campana playa,-1
POINT (-4.440263150000001 36.72921975),,kiosk,,,,,,,,,,,,-4.440263150000001,36.72921975,-494290,4088697,,90
POINT (-4.422635399752856 36.71804271640393),,kiosk,,,,,,,,,,,,-4.422635399752856,36.71804271640393,-492328,4087453,,142
POINT (-4.3500757983758165 36.71780413793701),,,,,,,park,,,,,,,-4.3500757983758165,36.71780413793701,-484250,4087426,,33
POINT (-4.423293181936052 36.718448931411636),,kiosk,,,,,,,,,,,,-4.423293181936052,36.718448931411636,-492401,4087498,,142
POINT (-4.42289385 36.7183748),,kiosk,,,,,,,,,,,,-4.42289385,36.7183748,-492357,4087489,,142
POINT (-4.349676498921196 36.72018456909046),,,,,,,park,,,,,,,-4.349676498921196,36.72018456909046,-484206,4087691,,33
POINT (-4.349495746463115 36.7206833435665),,,,,,,park,,,,,,,-4.349495746463115,36.7206833435665,-484186,4087746,,33
